2012stx_0,Regional Chairman's Award,frc2158,
2012stx_1,Regional Winners,frc1477,
2012stx_1,Regional Winners,frc457,
2012stx_1,Regional Winners,frc231,
2012stx_10,Rookie All Star Award,frc3999,
2012stx_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc4063,
2012stx_12,Coopertition Award,frc3366,
2012stx_13,Judges' Award,frc2468,
2012stx_14,Highest Rookie Seed,frc3999,
2012stx_15,Rookie Inspiration Award,frc4000,
2012stx_16,Industrial Design Award sponsored by General Motors,frc1477,
2012stx_17,Quality Award sponsored by Motorola,frc148,
2012stx_18,Industrial Safety Award sponsored by Underwriters Laboratories,frc2936,
2012stx_2,Regional Finalists,frc922,
2012stx_2,Regional Finalists,frc2936,
2012stx_2,Regional Finalists,frc148,
2012stx_20,Creativity Award sponsored by Xerox,frc3366,
2012stx_21,Engineering Excellence Award sponsored by Delphi,frc118,
2012stx_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc245,
2012stx_27,Imagery Award in honor of Jack Kamen,frc2936,
2012stx_29,Innovation in Control Award sponsored by Rockwell Automation,frc488,
2012stx_3,Woodie Flowers Finalist Award,frc2158,David Yanoshak
2012stx_30,Team Spirit Award sponsored by Chrysler,frc3478,
2012stx_31,Website Award,frc245,
2012stx_4,FIRST Dean's List Finalist Award,frc2158,Nathaniel McLauchlan
2012stx_4,FIRST Dean's List Finalist Award,frc3481,Matthew Blake
2012stx_5,Volunteer of the Year,frc2158,Jess Jankowitsch
2012stx_9,Engineering Inspiration Award,frc3103,
