2012ut_0,Regional Chairman's Award,frc3456,
2012ut_1,Regional Winners,frc3245,
2012ut_1,Regional Winners,frc2403,
2012ut_1,Regional Winners,frc3230,
2012ut_10,Rookie All Star Award,frc4183,
2012ut_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc2993,
2012ut_12,Coopertition Award,frc3225,
2012ut_13,Judges' Award,frc473,
2012ut_14,Highest Rookie Seed,frc4153,
2012ut_15,Rookie Inspiration Award,frc4153,
2012ut_16,Industrial Design Award sponsored by General Motors,frc2122,
2012ut_17,Quality Award sponsored by Motorola,frc399,
2012ut_18,Industrial Safety Award sponsored by Underwriters Laboratories,frc1891,
2012ut_2,Regional Finalists,frc1158,
2012ut_2,Regional Finalists,frc3241,
2012ut_2,Regional Finalists,frc1569,
2012ut_20,Creativity Award sponsored by Xerox,frc3483,
2012ut_21,Engineering Excellence Award sponsored by Delphi,frc1332,
2012ut_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc2789,
2012ut_27,Imagery Award in honor of Jack Kamen,frc3239,
2012ut_29,Innovation in Control Award sponsored by Rockwell Automation,frc3288,
2012ut_3,Woodie Flowers Finalist Award,frc1891,Dean Klein
2012ut_30,Team Spirit Award sponsored by Chrysler,frc2484,
2012ut_31,Website Award,frc399,
2012ut_4,FIRST Dean's List Finalist Award,frc1569,Caitlin Vitale-Sullivan
2012ut_4,FIRST Dean's List Finalist Award,frc4348,TJ Houze
2012ut_5,Volunteer of the Year,,Erin Parsons
2012ut_9,Engineering Inspiration Award,frc2486,
