Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,868,18.00,354.00,230.00,677.00,9-1-0,0,10
2,234,16.00,314.00,230.00,591.00,8-2-0,0,10
3,930,14.00,346.00,190.00,565.00,7-3-0,0,10
4,931,14.00,332.00,290.00,522.00,7-3-0,0,10
5,4028,14.00,258.00,190.00,552.00,7-3-0,0,10
6,2481,14.00,246.00,340.00,363.00,7-3-0,0,10
7,447,13.00,332.00,220.00,558.00,6-3-1,0,10
8,3266,13.00,296.00,160.00,470.00,6-3-1,0,10
9,1018,13.00,282.00,200.00,460.00,6-3-1,0,10
10,1706,12.00,316.00,190.00,541.00,6-4-0,0,10
11,1208,12.00,294.00,280.00,477.00,6-4-0,0,10
12,1024,12.00,270.00,150.00,469.00,6-4-0,0,10
13,4256,12.00,268.00,370.00,291.00,6-4-0,0,10
14,1501,12.00,266.00,160.00,645.00,6-4-0,0,10
15,1741,12.00,260.00,250.00,563.00,6-4-0,0,10
16,3492,12.00,250.00,140.00,470.00,6-4-0,0,10
17,292,12.00,234.00,210.00,337.00,6-4-0,0,10
18,3947,12.00,214.00,180.00,394.00,6-4-0,0,10
19,4690,12.00,186.00,170.00,310.00,6-4-0,0,10
20,1094,10.00,306.00,240.00,381.00,5-5-0,0,10
21,3138,10.00,306.00,140.00,424.00,5-5-0,0,10
22,2202,10.00,288.00,270.00,527.00,5-5-0,0,10
23,1288,10.00,278.00,190.00,536.00,5-5-0,0,10
24,3186,10.00,240.00,160.00,254.00,5-5-0,0,10
25,4213,10.00,238.00,180.00,421.00,5-5-0,0,10
26,3844,10.00,234.00,180.00,365.00,5-5-0,0,10
27,2360,10.00,222.00,120.00,213.00,5-5-0,0,10
28,1720,10.00,200.00,100.00,439.00,5-5-0,0,10
29,4008,10.00,170.00,150.00,308.00,5-5-0,0,10
30,1529,10.00,142.00,150.00,367.00,5-5-0,0,10
31,4143,10.00,72.00,270.00,319.00,5-5-0,0,10
32,4272,9.00,208.00,150.00,349.00,4-5-1,0,10
33,1038,9.00,184.00,180.00,409.00,4-5-1,0,10
34,4330,8.00,298.00,150.00,336.00,4-6-0,0,10
35,1756,8.00,284.00,150.00,420.00,4-6-0,0,10
36,48,8.00,270.00,140.00,529.00,4-6-0,0,10
37,4329,8.00,204.00,180.00,243.00,4-6-0,0,10
38,4103,8.00,192.00,250.00,367.00,4-6-0,0,10
39,4211,8.00,174.00,130.00,367.00,4-6-0,0,10
40,279,8.00,136.00,220.00,450.00,4-6-0,0,10
41,337,8.00,126.00,180.00,283.00,4-6-0,0,10
42,1646,6.00,232.00,180.00,334.00,3-7-0,0,10
43,3559,6.00,230.00,170.00,326.00,3-7-0,0,10
44,2171,6.00,208.00,220.00,339.00,3-7-0,0,10
45,3494,6.00,140.00,200.00,239.00,3-6-0,1,10
46,4058,6.00,140.00,120.00,289.00,3-7-0,0,10
47,4781,6.00,128.00,120.00,282.00,3-7-0,0,10
48,2081,5.00,258.00,200.00,286.00,2-7-1,0,10
49,3201,4.00,180.00,140.00,267.00,2-8-0,0,10
50,2909,4.00,98.00,90.00,284.00,2-8-0,0,10
