2013miwfd_0,District Chairman's Award,frc548,
2013miwfd_1,District Winners,frc4779,
2013miwfd_1,District Winners,frc33,
2013miwfd_1,District Winners,frc1718,
2013miwfd_10,Rookie All Star Award,frc4779,
2013miwfd_11,Gracious Professionalism� Award sponsored by Johnson & Johnson,frc67,
2013miwfd_13,Judges' Award,frc51,
2013miwfd_14,Highest Rookie Seed,frc4737,
2013miwfd_16,Industrial Design Award sponsored by General Motors,frc4384,
2013miwfd_17,Quality Award sponsored by Motorola,frc3539,
2013miwfd_18,Industrial Safety Award sponsored by Underwriters Laboratories,frc4044,
2013miwfd_2,District Finalists,frc3604,
2013miwfd_2,District Finalists,frc3414,
2013miwfd_2,District Finalists,frc51,
2013miwfd_20,Creativity Award sponsored by Xerox,frc1025,
2013miwfd_21,Excellence in Engineering Award sponsored by Delphi,frc494,
2013miwfd_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc1718,
2013miwfd_27,Imagery Award in honor of Jack Kamen,frc2137,
2013miwfd_29,Innovation in Control Award sponsored by Rockwell Automation,frc33,
2013miwfd_30,Team Spirit Award sponsored by Chrysler,frc573,
2013miwfd_9,Engineering Inspiration Award,frc2834,
