Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,1538,16.00,432.00,240.00,664.00,8-0-0,0,8
2,128,14.00,312.00,150.00,592.00,7-1-0,0,8
3,303,14.00,302.00,230.00,559.00,7-1-0,0,8
4,3997,14.00,298.00,200.00,400.00,7-1-0,0,8
5,341,14.00,290.00,180.00,537.00,7-1-0,0,8
6,829,14.00,286.00,190.00,541.00,7-1-0,0,8
7,2252,14.00,260.00,220.00,555.00,7-1-0,0,8
8,2052,14.00,252.00,210.00,522.00,7-1-0,0,8
9,2054,12.00,350.00,220.00,432.00,6-2-0,0,8
10,1569,12.00,316.00,220.00,561.00,6-2-0,0,8
11,68,12.00,306.00,210.00,684.00,6-2-0,0,8
12,2439,12.00,270.00,180.00,525.00,6-2-0,0,8
13,1985,12.00,268.00,260.00,469.00,6-2-0,0,8
14,1676,12.00,254.00,160.00,617.00,6-2-0,0,8
15,190,12.00,250.00,290.00,446.00,6-2-0,0,8
16,1311,12.00,244.00,180.00,373.00,6-2-0,0,8
17,4476,12.00,226.00,190.00,316.00,6-2-0,0,8
18,3476,10.00,402.00,180.00,562.00,5-3-0,0,8
19,1986,10.00,366.00,290.00,451.00,5-3-0,0,8
20,3130,10.00,354.00,190.00,438.00,5-3-0,0,8
21,3931,10.00,334.00,190.00,441.00,5-3-0,0,8
22,1741,10.00,322.00,270.00,438.00,5-3-0,0,8
23,175,10.00,308.00,180.00,481.00,5-3-0,0,8
24,1640,10.00,302.00,210.00,478.00,5-3-0,0,8
25,225,10.00,298.00,180.00,585.00,5-3-0,0,8
26,2826,10.00,294.00,140.00,568.00,5-3-0,0,8
27,141,10.00,278.00,140.00,392.00,5-3-0,0,8
28,191,10.00,276.00,110.00,573.00,5-3-0,0,8
29,2974,10.00,264.00,180.00,571.00,5-3-0,0,8
30,2471,10.00,262.00,190.00,529.00,5-3-0,0,8
31,93,10.00,256.00,160.00,425.00,5-3-0,0,8
32,3574,10.00,256.00,150.00,288.00,5-3-0,0,8
33,4539,10.00,252.00,240.00,358.00,5-3-0,0,8
34,1523,10.00,248.00,180.00,380.00,5-3-0,0,8
35,195,10.00,244.00,190.00,725.00,5-3-0,0,8
36,131,10.00,240.00,160.00,504.00,5-3-0,0,8
37,1646,10.00,238.00,140.00,278.00,5-3-0,0,8
38,1730,10.00,232.00,170.00,385.00,5-3-0,0,8
39,3802,10.00,230.00,130.00,455.00,5-3-0,0,8
40,503,10.00,220.00,150.00,412.00,5-3-0,0,8
41,3339,10.00,210.00,290.00,307.00,5-3-0,0,8
42,4451,10.00,208.00,310.00,442.00,5-3-0,0,8
43,353,10.00,196.00,160.00,429.00,5-3-0,0,8
44,155,8.00,304.00,200.00,459.00,4-4-0,0,8
45,2194,8.00,300.00,150.00,303.00,4-4-0,0,8
46,3137,8.00,298.00,160.00,398.00,4-4-0,0,8
47,1718,8.00,286.00,170.00,617.00,4-4-0,0,8
48,79,8.00,270.00,140.00,553.00,4-4-0,0,8
49,1899,8.00,264.00,190.00,481.00,4-4-0,0,8
50,4586,8.00,254.00,130.00,293.00,4-4-0,0,8
51,3880,8.00,252.00,110.00,408.00,4-4-0,0,8
52,2612,8.00,244.00,240.00,470.00,4-4-0,0,8
53,2655,8.00,230.00,240.00,382.00,4-4-0,0,8
54,1208,8.00,228.00,160.00,397.00,4-4-0,0,8
55,1511,8.00,222.00,260.00,501.00,4-4-0,0,8
56,4276,8.00,218.00,170.00,321.00,4-4-0,0,8
57,4519,8.00,192.00,250.00,423.00,4-4-0,0,8
58,1885,8.00,190.00,170.00,437.00,4-4-0,0,8
59,1305,8.00,188.00,210.00,322.00,4-4-0,0,8
60,88,8.00,174.00,220.00,335.00,4-4-0,0,8
61,2783,6.00,280.00,140.00,324.00,3-5-0,0,8
62,4629,6.00,278.00,120.00,351.00,3-5-0,0,8
63,2851,6.00,276.00,170.00,278.00,3-5-0,0,8
64,1781,6.00,258.00,170.00,262.00,3-5-0,0,8
65,2619,6.00,256.00,170.00,475.00,3-5-0,0,8
66,25,6.00,252.00,210.00,342.00,3-5-0,0,8
67,604,6.00,252.00,160.00,396.00,3-5-0,0,8
68,1671,6.00,244.00,100.00,410.00,3-4-0,1,8
69,180,6.00,234.00,210.00,552.00,3-5-0,0,8
70,3756,6.00,232.00,160.00,385.00,3-5-0,0,8
71,492,6.00,212.00,180.00,290.00,3-5-0,0,8
72,4656,6.00,208.00,130.00,275.00,3-5-0,0,8
73,1251,6.00,206.00,140.00,375.00,3-5-0,0,8
74,771,6.00,204.00,160.00,329.00,3-5-0,0,8
75,4666,6.00,186.00,90.00,347.00,3-5-0,0,8
76,4487,6.00,178.00,240.00,376.00,3-5-0,0,8
77,4531,6.00,142.00,190.00,258.00,3-5-0,0,8
78,4572,6.00,128.00,140.00,300.00,3-5-0,0,8
79,3280,4.00,288.00,80.00,253.00,2-6-0,0,8
80,2389,4.00,232.00,200.00,239.00,2-6-0,0,8
81,217,4.00,228.00,130.00,544.00,2-6-0,0,8
82,4505,4.00,224.00,130.00,219.00,2-6-0,0,8
83,2283,4.00,224.00,100.00,303.00,2-6-0,0,8
84,1410,4.00,224.00,80.00,371.00,2-6-0,0,8
85,3171,4.00,208.00,130.00,292.00,2-6-0,0,8
86,1515,4.00,202.00,180.00,296.00,2-6-0,0,8
87,296,4.00,190.00,120.00,278.00,2-6-0,0,8
88,1111,4.00,168.00,180.00,321.00,2-6-0,0,8
89,122,4.00,168.00,170.00,194.00,2-5-0,1,8
90,2080,4.00,166.00,150.00,265.00,2-6-0,0,8
91,4713,4.00,164.00,100.00,263.00,2-6-0,0,8
92,1739,4.00,138.00,70.00,102.00,2-6-0,0,8
93,116,2.00,260.00,130.00,378.00,1-7-0,0,8
94,3244,2.00,248.00,190.00,388.00,1-7-0,0,8
95,2352,2.00,228.00,90.00,365.00,1-7-0,0,8
96,2386,2.00,224.00,160.00,205.00,1-7-0,0,8
97,4652,2.00,222.00,110.00,462.00,1-7-0,0,8
98,537,2.00,188.00,140.00,278.00,1-7-0,0,8
99,2789,2.00,182.00,100.00,203.00,1-7-0,0,8
100,4828,2.00,176.00,70.00,217.00,1-7-0,0,8
