2013papi_0,Regional Chairman's Award,frc128,
2013papi_1,Regional Winners,frc620,
2013papi_1,Regional Winners,frc128,
2013papi_1,Regional Winners,frc1503,
2013papi_10,Rookie All Star Award,frc4601,
2013papi_11,Gracious Professionalism� Award sponsored by Johnson & Johnson,frc291,
2013papi_13,Judges' Award,frc3955,
2013papi_14,Highest Rookie Seed,frc4601,
2013papi_15,Rookie Inspiration Award,frc4467,
2013papi_16,Industrial Design Award sponsored by General Motors,frc156,
2013papi_17,Quality Award sponsored by Motorola,frc1708,
2013papi_18,Industrial Safety Award sponsored by Underwriters Laboratories,frc337,
2013papi_2,Regional Finalists,frc3260,
2013papi_2,Regional Finalists,frc1629,
2013papi_2,Regional Finalists,frc2603,
2013papi_20,Creativity Award sponsored by Xerox,frc1503,
2013papi_21,Excellence in Engineering Award sponsored by Delphi,frc1629,
2013papi_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc2614,
2013papi_27,Imagery Award in honor of Jack Kamen,frc4031,
2013papi_29,Innovation in Control Award sponsored by Rockwell Automation,frc2252,
2013papi_3,Woodie Flowers Finalist Award,frc449,Sharon Goodall
2013papi_30,Team Spirit Award sponsored by Chrysler,frc2399,
2013papi_4,FIRST Dean's List Finalist,frc2614,Nathan Utzman
2013papi_4,FIRST Dean's List Finalist,frc3504,Naoka Gunawardena
2013papi_5,Volunteer of the Year,,Branden Plesh
2013papi_9,Engineering Inspiration Award,frc3504,
