Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,1138,22.00,320.00,510.00,180.00,562.00,11-0-0,0,11
2,1987,22.00,270.00,470.00,90.00,346.00,11-0-0,0,11
3,1619,20.00,460.00,465.00,270.00,519.00,10-1-0,0,11
4,2996,18.00,270.00,355.00,130.00,376.00,9-2-0,0,11
5,1410,18.00,250.00,286.00,200.00,376.00,9-2-0,0,11
6,3310,16.00,400.00,510.00,200.00,501.00,8-3-0,0,11
7,2972,16.00,200.00,385.00,240.00,309.00,8-3-0,0,11
8,4944,14.00,320.00,270.00,80.00,568.00,7-4-0,0,11
9,1583,14.00,310.00,385.00,170.00,298.00,7-4-0,0,11
10,1245,14.00,300.00,331.00,70.00,376.00,7-4-0,0,11
11,2240,14.00,300.00,237.00,70.00,183.00,7-4-0,0,11
12,1011,14.00,290.00,360.00,170.00,227.00,7-4-0,0,11
13,649,14.00,270.00,386.00,140.00,78.00,7-4-0,0,11
14,4153,14.00,240.00,428.00,160.00,241.00,7-4-0,0,11
15,1584,14.00,140.00,360.00,120.00,235.00,7-4-0,0,11
16,2945,12.00,280.00,386.00,80.00,382.00,6-5-0,0,11
17,4550,12.00,270.00,361.00,160.00,299.00,6-5-0,0,11
18,4499,12.00,260.00,351.00,160.00,210.00,6-5-0,0,11
19,4293,12.00,260.00,276.00,140.00,304.00,6-5-0,0,11
20,4928,12.00,250.00,271.00,90.00,249.00,6-5-0,0,11
21,1361,12.00,250.00,267.00,130.00,321.00,6-5-0,0,11
22,3200,12.00,240.00,300.00,220.00,178.00,6-5-0,0,11
23,3243,12.00,210.00,241.00,130.00,289.00,6-5-0,0,11
24,2083,12.00,190.00,405.00,110.00,169.00,6-5-0,0,11
25,5318,12.00,160.00,350.00,210.00,253.00,6-5-0,0,11
26,1332,12.00,150.00,282.00,80.00,263.00,6-5-0,0,11
27,3562,12.00,90.00,396.00,120.00,311.00,6-5-0,0,11
28,4593,10.00,250.00,231.00,80.00,240.00,5-6-0,0,11
29,159,10.00,240.00,281.00,160.00,173.00,5-6-0,0,11
30,1339,10.00,210.00,355.00,150.00,194.00,5-6-0,0,11
31,4418,10.00,200.00,370.00,120.00,187.00,5-6-0,0,11
32,4386,10.00,200.00,251.00,60.00,227.00,5-6-0,0,11
33,1157,10.00,120.00,200.00,90.00,310.00,5-6-0,0,11
34,662,8.00,270.00,291.00,120.00,323.00,4-7-0,0,11
35,1799,8.00,250.00,290.00,130.00,140.00,4-7-0,0,11
36,3648,8.00,230.00,251.00,90.00,218.00,4-7-0,0,11
37,1303,8.00,220.00,307.00,60.00,125.00,4-7-0,0,11
38,2543,8.00,210.00,400.00,170.00,174.00,4-7-0,0,11
39,4068,8.00,200.00,282.00,60.00,249.00,4-7-0,0,11
40,2259,8.00,160.00,209.00,80.00,232.00,4-7-0,0,11
41,3643,8.00,120.00,185.00,140.00,311.00,4-7-0,0,11
42,4072,8.00,110.00,216.00,150.00,288.00,4-6-0,1,11
43,3729,8.00,70.00,260.00,40.00,493.00,4-7-0,0,11
44,2275,6.00,190.00,290.00,110.00,154.00,3-8-0,0,11
45,4388,6.00,160.00,198.00,80.00,164.00,3-8-0,0,11
46,1977,6.00,130.00,233.00,90.00,282.00,3-8-0,0,11
47,3703,6.00,100.00,201.00,200.00,167.00,3-8-0,0,11
48,4581,4.00,150.00,117.00,40.00,250.00,2-9-0,0,11
49,3403,4.00,70.00,311.00,70.00,160.00,2-9-0,0,11
50,2036,4.00,70.00,210.00,90.00,116.00,2-6-0,3,11
51,3807,4.00,60.00,298.00,30.00,177.00,2-9-0,0,11
52,2261,0,70.00,205.00,90.00,52.00,0-10-0,1,11
