Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,1756,18.00,820.00,571.00,180.00,264.00,9-1-0,0,10
2,1153,18.00,750.00,515.00,160.00,409.00,9-1-0,0,10
3,1730,18.00,740.00,581.00,170.00,239.00,9-1-0,0,10
4,862,16.00,940.00,560.00,200.00,210.00,8-2-0,0,10
5,67,16.00,770.00,620.00,200.00,395.00,8-2-0,0,10
6,2052,16.00,740.00,551.00,260.00,276.00,8-2-0,0,10
7,836,16.00,710.00,541.00,300.00,410.00,8-2-0,0,10
8,1717,16.00,700.00,605.00,190.00,343.00,8-2-0,0,10
9,1023,16.00,700.00,590.00,240.00,341.00,8-2-0,0,10
10,3098,16.00,680.00,590.00,310.00,329.00,8-2-0,0,10
11,4488,16.00,680.00,490.00,200.00,474.00,8-2-0,0,10
12,126,16.00,650.00,553.00,150.00,313.00,8-2-0,0,10
13,2122,16.00,580.00,456.00,240.00,459.00,8-2-0,0,10
14,353,16.00,420.00,502.00,230.00,264.00,8-2-0,0,10
15,558,14.00,870.00,495.00,260.00,296.00,7-3-0,0,10
16,4967,14.00,740.00,511.00,240.00,323.00,7-3-0,0,10
17,1310,14.00,720.00,531.00,130.00,172.00,7-3-0,0,10
18,1318,14.00,680.00,621.00,190.00,390.00,7-3-0,0,10
19,148,14.00,680.00,576.00,270.00,409.00,7-3-0,0,10
20,494,14.00,620.00,515.00,290.00,414.00,7-3-0,0,10
21,3683,14.00,570.00,515.00,230.00,244.00,7-3-0,0,10
22,1610,14.00,560.00,510.00,220.00,272.00,7-3-0,0,10
23,79,14.00,540.00,555.00,190.00,324.00,7-3-0,0,10
24,2363,14.00,520.00,575.00,240.00,275.00,7-3-0,0,10
25,4945,14.00,480.00,445.00,220.00,325.00,7-3-0,0,10
26,3309,12.00,760.00,500.00,220.00,271.00,6-4-0,0,10
27,365,12.00,720.00,520.00,200.00,281.00,6-4-0,0,10
28,188,12.00,680.00,665.00,250.00,221.00,6-4-0,0,10
29,217,12.00,660.00,515.00,280.00,283.00,6-4-0,0,10
30,1775,12.00,660.00,486.00,290.00,378.00,6-4-0,0,10
31,973,12.00,640.00,535.00,180.00,246.00,6-4-0,0,10
32,1108,12.00,590.00,545.00,290.00,244.00,6-4-0,0,10
33,45,12.00,590.00,540.00,170.00,323.00,6-4-0,0,10
34,2481,12.00,550.00,485.00,280.00,370.00,6-4-0,0,10
