Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,2137,22.00,580.00,597.00,240.00,564.00,11-1-0,0,12
2,67,22.00,560.00,586.00,220.00,841.00,11-1-0,0,12
3,3539,22.00,410.00,610.00,310.00,619.00,11-1-0,0,12
4,1718,20.00,630.00,481.00,440.00,1005.00,10-2-0,0,12
5,302,20.00,460.00,582.00,250.00,541.00,10-2-0,0,12
6,51,18.00,440.00,593.00,190.00,685.00,9-3-0,0,12
7,3098,17.00,560.00,501.00,300.00,610.00,8-3-1,0,12
8,4851,17.00,500.00,362.00,160.00,614.00,8-3-1,0,12
9,469,17.00,470.00,525.00,370.00,498.00,8-3-1,0,12
10,3535,16.00,300.00,471.00,310.00,517.00,8-4-0,0,12
11,240,15.00,440.00,437.00,120.00,539.00,7-4-1,0,12
12,2612,14.00,430.00,500.00,370.00,672.00,7-5-0,0,12
13,573,14.00,400.00,421.00,250.00,639.00,7-5-0,0,12
14,4680,14.00,280.00,318.00,140.00,358.00,7-5-0,0,12
15,4758,14.00,100.00,448.00,150.00,465.00,6-4-2,0,12
16,68,12.00,440.00,646.00,200.00,257.00,6-6-0,0,12
17,5216,12.00,400.00,437.00,130.00,204.00,6-6-0,0,12
18,5073,12.00,240.00,234.00,150.00,705.00,6-6-0,0,12
19,5084,12.00,230.00,391.00,40.00,214.00,6-6-0,0,12
20,3707,11.00,390.00,467.00,130.00,453.00,5-6-1,0,12
21,5224,11.00,390.00,427.00,170.00,280.00,5-6-1,0,12
22,5081,11.00,240.00,286.00,90.00,190.00,5-6-1,0,12
23,5238,10.00,360.00,406.00,150.00,249.00,5-7-0,0,12
24,3538,10.00,350.00,434.00,130.00,388.00,5-7-0,0,12
25,5048,10.00,250.00,478.00,150.00,318.00,5-7-0,0,12
26,3619,10.00,180.00,329.00,110.00,351.00,5-7-0,0,12
27,5239,10.00,140.00,348.00,150.00,458.00,5-7-0,0,12
28,5144,9.00,90.00,277.00,70.00,539.00,4-7-1,0,12
29,3773,8.00,320.00,413.00,150.00,395.00,4-8-0,0,12
30,5050,8.00,250.00,308.00,180.00,317.00,4-8-0,0,12
31,3096,8.00,200.00,405.00,180.00,335.00,4-8-0,0,12
32,4998,8.00,200.00,387.00,110.00,425.00,4-8-0,0,12
33,3632,8.00,160.00,390.00,130.00,342.00,4-8-0,0,12
34,5197,7.00,160.00,383.00,70.00,228.00,3-8-1,0,12
35,5008,6.00,240.00,369.00,160.00,405.00,3-9-0,0,12
36,4994,6.00,220.00,374.00,170.00,377.00,3-9-0,0,12
37,1,6.00,220.00,331.00,120.00,337.00,3-9-0,0,12
38,5233,6.00,160.00,295.00,140.00,406.00,3-9-0,0,12
39,3302,4.00,130.00,302.00,80.00,325.00,2-10-0,0,12
40,5225,3.00,140.00,329.00,100.00,407.00,1-10-1,0,12
