Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,188,20.00,810.00,512.00,160.00,162.00,10-1-0,0,11
2,610,20.00,590.00,502.00,360.00,405.00,10-1-0,0,11
3,2200,20.00,520.00,426.00,250.00,378.00,10-1-0,0,11
4,1310,18.00,460.00,376.00,190.00,446.00,9-2-0,0,11
5,2013,18.00,380.00,445.00,230.00,328.00,9-2-0,0,11
6,4946,16.00,440.00,401.00,340.00,284.00,8-3-0,0,11
7,4343,16.00,320.00,411.00,290.00,399.00,8-3-0,0,11
8,3710,14.00,420.00,388.00,220.00,275.00,7-4-0,0,11
9,2386,14.00,400.00,426.00,170.00,362.00,7-4-0,0,11
10,4069,14.00,360.00,409.00,240.00,424.00,7-4-0,0,11
11,4476,12.00,630.00,389.00,130.00,201.00,6-5-0,0,11
12,1334,12.00,490.00,422.00,260.00,152.00,6-5-0,0,11
13,3571,12.00,480.00,427.00,220.00,195.00,6-5-0,0,11
14,2609,12.00,450.00,271.00,220.00,465.00,6-5-0,0,11
15,4976,12.00,410.00,491.00,180.00,321.00,6-5-0,0,11
16,4001,12.00,410.00,468.00,220.00,172.00,6-5-0,0,11
17,4992,10.00,550.00,382.00,140.00,208.00,5-6-0,0,11
18,772,10.00,470.00,482.00,180.00,166.00,5-6-0,0,11
19,2994,10.00,220.00,318.00,210.00,335.00,5-6-0,0,11
20,3543,10.00,180.00,329.00,170.00,364.00,5-6-0,0,11
21,5164,10.00,170.00,368.00,100.00,197.00,5-6-0,0,11
22,4951,10.00,150.00,387.00,180.00,164.00,5-6-0,0,11
23,5035,10.00,150.00,321.00,180.00,370.00,5-6-0,0,11
24,4152,8.00,360.00,311.00,170.00,201.00,4-7-0,0,11
25,5191,8.00,350.00,372.00,120.00,443.00,4-7-0,0,11
26,5324,8.00,310.00,367.00,150.00,167.00,4-7-0,0,11
27,1305,8.00,230.00,326.00,150.00,233.00,4-7-0,0,11
28,5157,8.00,210.00,376.00,230.00,260.00,4-7-0,0,11
29,4704,8.00,190.00,337.00,200.00,177.00,4-7-0,0,11
30,4914,6.00,420.00,398.00,310.00,266.00,3-8-0,0,11
31,4902,6.00,420.00,375.00,120.00,150.00,3-8-0,0,11
32,1325,6.00,360.00,414.00,180.00,221.00,3-8-0,0,11
33,4968,6.00,250.00,273.00,160.00,278.00,3-8-0,0,11
34,5076,6.00,230.00,353.00,170.00,135.00,3-8-0,0,11
35,1605,4.00,260.00,350.00,160.00,215.00,2-9-0,0,11
36,4754,2.00,300.00,365.00,90.00,108.00,1-10-0,0,11
