Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,2590,20.00,390.00,616.00,210.00,295.00,10-2-0,0,12
2,486,20.00,140.00,396.00,110.00,324.00,10-2-0,0,12
3,2607,18.00,190.00,457.00,100.00,448.00,9-3-0,0,12
4,1647,16.00,290.00,373.00,140.00,407.00,8-4-0,0,12
5,357,16.00,240.00,292.00,120.00,375.00,8-4-0,0,12
6,2539,16.00,200.00,278.00,80.00,174.00,8-4-0,0,12
7,303,16.00,170.00,391.00,130.00,323.00,8-4-0,0,12
8,4954,16.00,160.00,340.00,170.00,242.00,8-4-0,0,12
9,341,16.00,130.00,286.00,90.00,98.00,8-4-0,0,12
10,834,16.00,130.00,221.00,40.00,401.00,8-4-0,0,12
11,304,16.00,120.00,342.00,60.00,307.00,8-4-0,0,12
12,1218,14.00,230.00,453.00,120.00,138.00,7-5-0,0,12
13,5113,14.00,220.00,402.00,110.00,141.00,7-5-0,0,12
14,1391,14.00,120.00,306.00,80.00,168.00,7-5-0,0,12
15,2234,14.00,110.00,256.00,100.00,307.00,7-5-0,0,12
16,25,12.00,330.00,411.00,100.00,74.00,6-6-0,0,12
17,1712,12.00,270.00,315.00,80.00,144.00,6-6-0,0,12
18,2729,12.00,230.00,420.00,90.00,89.00,6-6-0,0,12
19,1640,12.00,200.00,343.00,60.00,356.00,6-6-0,0,12
20,708,12.00,160.00,381.00,140.00,272.00,6-6-0,0,12
21,1495,12.00,120.00,256.00,100.00,202.00,6-5-0,1,12
22,1791,12.00,110.00,263.00,100.00,142.00,6-6-0,0,12
23,272,12.00,110.00,252.00,60.00,273.00,6-6-0,0,12
24,433,12.00,40.00,340.00,60.00,303.00,6-6-0,0,12
25,4750,10.00,210.00,307.00,60.00,154.00,5-7-0,0,12
26,2016,10.00,160.00,337.00,60.00,141.00,5-7-0,0,12
27,103,10.00,140.00,412.00,200.00,112.00,5-7-0,0,12
28,3974,10.00,140.00,307.00,60.00,242.00,5-7-0,0,12
29,1168,10.00,90.00,322.00,20.00,136.00,5-7-0,0,12
30,5181,10.00,70.00,298.00,50.00,67.00,5-7-0,0,12
31,3151,8.00,150.00,297.00,130.00,189.00,4-8-0,0,12
32,816,8.00,100.00,378.00,20.00,208.00,4-8-0,0,12
33,4373,8.00,90.00,303.00,10.00,231.00,4-8-0,0,12
34,709,8.00,80.00,367.00,80.00,133.00,4-8-0,0,12
35,3167,8.00,40.00,236.00,10.00,222.00,4-8-0,0,12
36,4128,6.00,120.00,232.00,90.00,192.00,3-9-0,0,12
37,4637,6.00,90.00,231.00,20.00,117.00,3-9-0,0,12
38,4342,6.00,80.00,303.00,70.00,136.00,3-9-0,0,12
39,87,6.00,80.00,210.00,50.00,91.00,3-9-0,0,12
40,1807,4.00,100.00,221.00,70.00,136.00,2-10-0,0,12
