frc0,,,,,
frc1,The Juggernauts,The Chrysler Foundation/BAE Systems/Hirotec & Oakland Schools Technical Campus Northeast High School,"Pontiac, MI, USA",http://www.juggernauts.org,
frc4,Team 4 ELEMENT,Gibbs CAM/SolidWorks/Sawing Services/NASA/WAAG/Full Scale Effects/Roberts Tool Co./Thomson & HighTech-Los Angeles,"Van Nuys, CA, USA",http://www.team4element.com,
frc5,Robocards,Ford FIRST Robotics & Melvindale High School,"Melvindale, MI, USA",http://www.robocards.org,
frc6,The CogSquad,ATK (Alliant Techsystems) & Hopkins High School,"Plymouth, MN, USA",http://www.cogsquad.org,
frc7,Team007,"Lockheed Martin/Northrop Grumman/Oak Harbor Marina/US Army/jcpenney/US Army Aberdeen Test Center/Moffatt & Nichol/Baltimore Area Alliance/Mr.Brookman & Parkville High School and Center for Mathematics, Science, and Computer Science","Baltimore, MD, USA",http://www.team007.org,
frc8,The Vikings,The Boeing Company/Google/DreamWorks Animation & Palo Alto High School,"Palo Alto, CA, USA",http://www.palyrobotics.com,
frc9,Roosevelt RoboRiders,Roosevelt High School,"Chicago, IL, USA",http://www.roboriders9.com,
frc10,Red Knights,Benilde-St. Margaret's School,"St. Louis Park, MN, USA",,
frc11,MORT,Siemens/BAE Systems/Givaudan/National Defense Education Program & Mt. Olive High School,"Flanders, NJ, USA",http://www.mort11.org,
frc13,,,,,
frc14,,,,,
frc15,,,,,
frc16,Bomb Squad,Baxter Healthcare Corporation/The Science and Technology Group/Arkansas FIRST & Mountain Home Public Schools,"Mountain Home, AR, USA",http://baxterbombsquad.com,
frc17,,,,,
frc18,,,,,
frc19,Big Red,Greenwich High School,"Greenwich, CT, USA",http://www.ghsteam19.com,
frc20,The Rocketeers,Global Foundries-Town of Malta Foundation / General Electric Volunteers and the GE Foundation / BAE SYSTEMS / Advanced Manufacturing Techniques Inc. / NYSTAR and the Center for Automation Technologies and Systems at Rensselaer Polytechnic Institute & Shenendehowa High School,"Clifton Park, NY, USA",http://www.team20.com,
frc21,ComBBAT,The Boeing Company/SGT/Planet Fitness of Daytona/Upper Mohawk/Amovius & Astronaut High School & Titusville High School,"Titusville, FL, USA",http://www.combbat21.com,
frc22,Double Deuce,Chatsworth High School,"Chatsworth, CA, USA",http://www.team22.org,
